Hidden Layers,HiddenL1 Units,HiddenL2 Units,Epochs,Alpha,Eta,Train ratio,Test ratio,Accuracy
1,2,,200,1,0.100,0.7,0.3,0.94440
1,3,,200,1,0.100,0.7,0.3,0.94440
1,4,,200,1,0.100,0.7,0.3,0.96300
1,2,,200,1,0.100,0.8,0.2,0.94440
1,3,,200,1,0.100,0.8,0.2,0.97220
1,4,,200,1,0.100,0.8,0.2,0.94440
1,2,,200,1,0.100,0.9,0.1,1.00000
1,3,,200,1,0.100,0.9,0.1,1.00000
1,4,,200,1,0.100,0.9,0.1,1.00000
1,2,,200,1,0.010,0.7,0.3,0.96300
1,3,,200,1,0.010,0.7,0.3,0.98150
1,4,,200,1,0.010,0.7,0.3,0.98150
1,2,,200,1,0.010,0.8,0.2,0.97220
1,3,,200,1,0.010,0.8,0.2,0.97220
1,4,,200,1,0.010,0.8,0.2,0.97220
1,2,,200,1,0.010,0.9,0.1,1.00000
1,3,,200,1,0.010,0.9,0.1,1.00000
1,4,,200,1,0.010,0.9,0.1,1.00000
1,2,,200,1,0.001,0.7,0.3,0.59260
1,3,,200,1,0.001,0.7,0.3,0.74070
1,4,,200,1,0.001,0.7,0.3,0.83330
1,2,,200,1,0.001,0.8,0.2,0.66670
1,3,,200,1,0.001,0.8,0.2,0.72220
1,4,,200,1,0.001,0.8,0.2,0.88890
1,2,,200,1,0.001,0.9,0.1,0.88890
1,3,,200,1,0.001,0.9,0.1,0.94440
1,4,,200,1,0.001,0.9,0.1,1.00000
1,2,,200,2,0.100,0.7,0.3,0.96300
1,3,,200,2,0.100,0.7,0.3,0.98150
1,4,,200,2,0.100,0.7,0.3,0.94440
1,2,,200,2,0.100,0.8,0.2,0.94440
1,3,,200,2,0.100,0.8,0.2,0.97220
1,4,,200,2,0.100,0.8,0.2,0.97220
1,2,,200,2,0.100,0.9,0.1,1.00000
1,3,,200,2,0.100,0.9,0.1,1.00000
1,4,,200,2,0.100,0.9,0.1,1.00000
1,2,,200,2,0.010,0.7,0.3,0.87040
1,3,,200,2,0.010,0.7,0.3,0.96300
1,4,,200,2,0.010,0.7,0.3,0.92590
1,2,,200,2,0.010,0.8,0.2,0.91670
1,3,,200,2,0.010,0.8,0.2,0.97220
1,4,,200,2,0.010,0.8,0.2,0.97220
1,2,,200,2,0.010,0.9,0.1,1.00000
1,3,,200,2,0.010,0.9,0.1,1.00000
1,4,,200,2,0.010,0.9,0.1,1.00000
1,2,,200,2,0.001,0.7,0.3,0.57410
1,3,,200,2,0.001,0.7,0.3,0.90740
1,4,,200,2,0.001,0.7,0.3,0.87040
1,2,,200,2,0.001,0.8,0.2,0.80560
1,3,,200,2,0.001,0.8,0.2,0.86110
1,4,,200,2,0.001,0.8,0.2,0.75000
1,2,,200,2,0.001,0.9,0.1,0.88890
1,3,,200,2,0.001,0.9,0.1,0.77780
1,4,,200,2,0.001,0.9,0.1,0.83330
1,2,,200,5,0.100,0.7,0.3,0.92590
1,3,,200,5,0.100,0.7,0.3,0.98150
1,4,,200,5,0.100,0.7,0.3,0.94440
1,2,,200,5,0.100,0.8,0.2,0.94440
1,3,,200,5,0.100,0.8,0.2,0.88890
1,4,,200,5,0.100,0.8,0.2,0.97220
1,2,,200,5,0.100,0.9,0.1,1.00000
1,3,,200,5,0.100,0.9,0.1,1.00000
1,4,,200,5,0.100,0.9,0.1,1.00000
1,2,,200,5,0.010,0.7,0.3,0.98150
1,3,,200,5,0.010,0.7,0.3,0.96300
1,4,,200,5,0.010,0.7,0.3,0.94440
1,2,,200,5,0.010,0.8,0.2,0.91670
1,3,,200,5,0.010,0.8,0.2,0.97220
1,4,,200,5,0.010,0.8,0.2,0.97220
1,2,,200,5,0.010,0.9,0.1,1.00000
1,3,,200,5,0.010,0.9,0.1,1.00000
1,4,,200,5,0.010,0.9,0.1,1.00000
1,2,,200,5,0.001,0.7,0.3,0.81480
1,3,,200,5,0.001,0.7,0.3,0.75930
1,4,,200,5,0.001,0.7,0.3,0.83330
1,2,,200,5,0.001,0.8,0.2,0.66670
1,3,,200,5,0.001,0.8,0.2,0.91670
1,4,,200,5,0.001,0.8,0.2,0.83330
1,2,,200,5,0.001,0.9,0.1,0.77780
1,3,,200,5,0.001,0.9,0.1,0.94440
1,4,,200,5,0.001,0.9,0.1,0.72220
1,2,,500,1,0.100,0.7,0.3,0.96300
1,3,,500,1,0.100,0.7,0.3,0.94440
1,4,,500,1,0.100,0.7,0.3,0.94440
1,2,,500,1,0.100,0.8,0.2,0.86110
1,3,,500,1,0.100,0.8,0.2,0.97220
1,4,,500,1,0.100,0.8,0.2,0.94440
1,2,,500,1,0.100,0.9,0.1,1.00000
1,3,,500,1,0.100,0.9,0.1,1.00000
1,4,,500,1,0.100,0.9,0.1,1.00000
1,2,,500,1,0.010,0.7,0.3,0.98150
1,3,,500,1,0.010,0.7,0.3,0.88890
1,4,,500,1,0.010,0.7,0.3,0.94440
1,2,,500,1,0.010,0.8,0.2,0.80560
1,3,,500,1,0.010,0.8,0.2,0.94440
1,4,,500,1,0.010,0.8,0.2,0.91670
1,2,,500,1,0.010,0.9,0.1,0.94440
1,3,,500,1,0.010,0.9,0.1,1.00000
1,4,,500,1,0.010,0.9,0.1,1.00000
1,2,,500,1,0.001,0.7,0.3,0.92590
1,3,,500,1,0.001,0.7,0.3,0.90740
1,4,,500,1,0.001,0.7,0.3,0.92590
1,2,,500,1,0.001,0.8,0.2,0.91670
1,3,,500,1,0.001,0.8,0.2,0.83330
1,4,,500,1,0.001,0.8,0.2,0.94440
1,2,,500,1,0.001,0.9,0.1,1.00000
1,3,,500,1,0.001,0.9,0.1,1.00000
1,4,,500,1,0.001,0.9,0.1,0.83330
1,2,,500,2,0.100,0.7,0.3,0.98150
1,3,,500,2,0.100,0.7,0.3,0.94440
1,4,,500,2,0.100,0.7,0.3,0.92590
1,2,,500,2,0.100,0.8,0.2,0.94440
1,3,,500,2,0.100,0.8,0.2,0.97220
1,4,,500,2,0.100,0.8,0.2,0.94440
1,2,,500,2,0.100,0.9,0.1,1.00000
1,3,,500,2,0.100,0.9,0.1,1.00000
1,4,,500,2,0.100,0.9,0.1,1.00000
1,2,,500,2,0.010,0.7,0.3,0.90740
1,3,,500,2,0.010,0.7,0.3,0.98150
1,4,,500,2,0.010,0.7,0.3,0.96300
1,2,,500,2,0.010,0.8,0.2,0.94440
1,3,,500,2,0.010,0.8,0.2,0.97220
1,4,,500,2,0.010,0.8,0.2,0.97220
1,2,,500,2,0.010,0.9,0.1,1.00000
1,3,,500,2,0.010,0.9,0.1,1.00000
1,4,,500,2,0.010,0.9,0.1,0.94440
1,2,,500,2,0.001,0.7,0.3,0.87040
1,3,,500,2,0.001,0.7,0.3,0.81480
1,4,,500,2,0.001,0.7,0.3,0.83330
1,2,,500,2,0.001,0.8,0.2,0.86110
1,3,,500,2,0.001,0.8,0.2,0.86110
1,4,,500,2,0.001,0.8,0.2,0.91670
1,2,,500,2,0.001,0.9,0.1,0.94440
1,3,,500,2,0.001,0.9,0.1,1.00000
1,4,,500,2,0.001,0.9,0.1,0.94440
1,2,,500,5,0.100,0.7,0.3,0.96300
1,3,,500,5,0.100,0.7,0.3,0.94440
1,4,,500,5,0.100,0.7,0.3,0.98150
1,2,,500,5,0.100,0.8,0.2,0.91670
1,3,,500,5,0.100,0.8,0.2,0.94440
1,4,,500,5,0.100,0.8,0.2,0.94440
1,2,,500,5,0.100,0.9,0.1,1.00000
1,3,,500,5,0.100,0.9,0.1,1.00000
1,4,,500,5,0.100,0.9,0.1,1.00000
1,2,,500,5,0.010,0.7,0.3,0.94440
1,3,,500,5,0.010,0.7,0.3,0.96300
1,4,,500,5,0.010,0.7,0.3,0.94440
1,2,,500,5,0.010,0.8,0.2,0.94440
1,3,,500,5,0.010,0.8,0.2,0.97220
1,4,,500,5,0.010,0.8,0.2,0.97220
1,2,,500,5,0.010,0.9,0.1,1.00000
1,3,,500,5,0.010,0.9,0.1,1.00000
1,4,,500,5,0.010,0.9,0.1,1.00000
1,2,,500,5,0.001,0.7,0.3,0.87040
1,3,,500,5,0.001,0.7,0.3,0.90740
1,4,,500,5,0.001,0.7,0.3,0.85190
1,2,,500,5,0.001,0.8,0.2,0.88890
1,3,,500,5,0.001,0.8,0.2,0.88890
1,4,,500,5,0.001,0.8,0.2,0.86110
1,2,,500,5,0.001,0.9,0.1,0.88890
1,3,,500,5,0.001,0.9,0.1,0.88890
1,4,,500,5,0.001,0.9,0.1,0.94440
1,2,,1000,1,0.100,0.7,0.3,0.96300
1,3,,1000,1,0.100,0.7,0.3,0.96300
