Hidden Layers,HiddenL1 Units,HiddenL2 Units,Epochs,Alpha,Eta,Train ratio,Test ratio,Mean Squared Error (MSE)
1,20,,200,1,0.100,0.7,0.3,0.12838
1,30,,200,1,0.100,0.7,0.3,0.11648
1,40,,200,1,0.100,0.7,0.3,0.16462
1,20,,200,1,0.100,0.8,0.2,0.10591
1,30,,200,1,0.100,0.8,0.2,0.13664
1,40,,200,1,0.100,0.8,0.2,0.14818
1,20,,200,1,0.100,0.9,0.1,0.09571
1,30,,200,1,0.100,0.9,0.1,0.15006
1,40,,200,1,0.100,0.9,0.1,0.13945
1,20,,200,1,0.010,0.7,0.3,0.07996
1,30,,200,1,0.010,0.7,0.3,0.07668
1,40,,200,1,0.010,0.7,0.3,0.07613
1,20,,200,1,0.010,0.8,0.2,0.06896
1,30,,200,1,0.010,0.8,0.2,0.08097
1,40,,200,1,0.010,0.8,0.2,0.08244
1,20,,200,1,0.010,0.9,0.1,0.06960
1,30,,200,1,0.010,0.9,0.1,0.07180
1,40,,200,1,0.010,0.9,0.1,0.07530
1,20,,200,1,0.001,0.7,0.3,0.07889
1,30,,200,1,0.001,0.7,0.3,0.07588
1,40,,200,1,0.001,0.7,0.3,0.08378
1,20,,200,1,0.001,0.8,0.2,0.07531
1,30,,200,1,0.001,0.8,0.2,0.07593
1,40,,200,1,0.001,0.8,0.2,0.07712
1,20,,200,1,0.001,0.9,0.1,0.07203
1,30,,200,1,0.001,0.9,0.1,0.06410
1,40,,200,1,0.001,0.9,0.1,0.06603
1,20,,200,2,0.100,0.7,0.3,0.12385
1,30,,200,2,0.100,0.7,0.3,0.13775
1,40,,200,2,0.100,0.7,0.3,0.14506
1,20,,200,2,0.100,0.8,0.2,0.11348
1,30,,200,2,0.100,0.8,0.2,0.14499
1,40,,200,2,0.100,0.8,0.2,0.16247
1,20,,200,2,0.100,0.9,0.1,0.10838
1,30,,200,2,0.100,0.9,0.1,0.14084
1,40,,200,2,0.100,0.9,0.1,0.11548
1,20,,200,2,0.010,0.7,0.3,0.07457
1,30,,200,2,0.010,0.7,0.3,0.08078
1,40,,200,2,0.010,0.7,0.3,0.07861
1,20,,200,2,0.010,0.8,0.2,0.07423
1,30,,200,2,0.010,0.8,0.2,0.07652
1,40,,200,2,0.010,0.8,0.2,0.08344
1,20,,200,2,0.010,0.9,0.1,0.06823
1,30,,200,2,0.010,0.9,0.1,0.06866
1,40,,200,2,0.010,0.9,0.1,0.07655
1,20,,200,2,0.001,0.7,0.3,0.07540
1,30,,200,2,0.001,0.7,0.3,0.07539
1,40,,200,2,0.001,0.7,0.3,0.07981
1,20,,200,2,0.001,0.8,0.2,0.07551
1,30,,200,2,0.001,0.8,0.2,0.07629
1,40,,200,2,0.001,0.8,0.2,0.08155
1,20,,200,2,0.001,0.9,0.1,0.07414
1,30,,200,2,0.001,0.9,0.1,0.07195
1,40,,200,2,0.001,0.9,0.1,0.06966
1,20,,200,5,0.100,0.7,0.3,0.11137
1,30,,200,5,0.100,0.7,0.3,0.13711
1,40,,200,5,0.100,0.7,0.3,0.15547
1,20,,200,5,0.100,0.8,0.2,0.12531
1,30,,200,5,0.100,0.8,0.2,0.13109
1,40,,200,5,0.100,0.8,0.2,0.14180
1,20,,200,5,0.100,0.9,0.1,0.10738
1,30,,200,5,0.100,0.9,0.1,0.12019
1,40,,200,5,0.100,0.9,0.1,0.14512
1,20,,200,5,0.010,0.7,0.3,0.07055
1,30,,200,5,0.010,0.7,0.3,0.07059
1,40,,200,5,0.010,0.7,0.3,0.08750
1,20,,200,5,0.010,0.8,0.2,0.06792
1,30,,200,5,0.010,0.8,0.2,0.07806
1,40,,200,5,0.010,0.8,0.2,0.07648
1,20,,200,5,0.010,0.9,0.1,0.07166
1,30,,200,5,0.010,0.9,0.1,0.06796
1,40,,200,5,0.010,0.9,0.1,0.07186
1,20,,200,5,0.001,0.7,0.3,0.07740
1,30,,200,5,0.001,0.7,0.3,0.07916
1,40,,200,5,0.001,0.7,0.3,0.07552
1,20,,200,5,0.001,0.8,0.2,0.07435
1,30,,200,5,0.001,0.8,0.2,0.07666
1,40,,200,5,0.001,0.8,0.2,0.07681
1,20,,200,5,0.001,0.9,0.1,0.08362
1,30,,200,5,0.001,0.9,0.1,0.06742
1,40,,200,5,0.001,0.9,0.1,0.07108
1,20,,500,1,0.100,0.7,0.3,0.13153
1,30,,500,1,0.100,0.7,0.3,0.15324
1,40,,500,1,0.100,0.7,0.3,0.18802
1,20,,500,1,0.100,0.8,0.2,0.15058
1,30,,500,1,0.100,0.8,0.2,0.14176
1,40,,500,1,0.100,0.8,0.2,0.16507
1,20,,500,1,0.100,0.9,0.1,0.13651
1,30,,500,1,0.100,0.9,0.1,0.14969
1,40,,500,1,0.100,0.9,0.1,0.17673
1,20,,500,1,0.010,0.7,0.3,0.08073
1,30,,500,1,0.010,0.7,0.3,0.08471
1,40,,500,1,0.010,0.7,0.3,0.10118
1,20,,500,1,0.010,0.8,0.2,0.07921
1,30,,500,1,0.010,0.8,0.2,0.09231
1,40,,500,1,0.010,0.8,0.2,0.10702
1,20,,500,1,0.010,0.9,0.1,0.07974
1,30,,500,1,0.010,0.9,0.1,0.07916
1,40,,500,1,0.010,0.9,0.1,0.09486
1,20,,500,1,0.001,0.7,0.3,0.06821
1,30,,500,1,0.001,0.7,0.3,0.07733
1,40,,500,1,0.001,0.7,0.3,0.07348
1,20,,500,1,0.001,0.8,0.2,0.07732
1,30,,500,1,0.001,0.8,0.2,0.07160
1,40,,500,1,0.001,0.8,0.2,0.07399
1,20,,500,1,0.001,0.9,0.1,0.06887
1,30,,500,1,0.001,0.9,0.1,0.07165
1,40,,500,1,0.001,0.9,0.1,0.07254
